Location,Population,ofWorld,Date,Source
 World	,8	097	611	000,100%,29 Mar 2024	,UN projection[3]
 China	,1	409	670	000,17.4%,31 Dec 2023	,Official estimate[5]
 India	,1	392	329	000,17.2%,1 Jul 2023	,Official projection[6]
 United States	,335	893	238,4.1%,1 Jan 2024	,Official estimate[7]
 Indonesia	,279	118	866,3.4%,1 Jul 2023	,National annual projection[8]
 Pakistan	,241	499	431,3.0%,1 Mar 2023	,2023 census result[9]
 Nigeria	,223	800	000,2.8%,1 Jul 2023	,Official projection[10]
 Brazil	,203	080	756,2.5%,1 Aug 2022	,2022 census result[11]
 Bangladesh	,169	828	911,2.1%,14 Jun 2022	,2022 census result[12]
 Russia	,146	203	613,1.8%,1 Jan 2024	,Official estimate[13]
 Mexico	,129	625	968,1.6%,31 Dec 2023	,National quarterly estimate[14]
 Japan	,123	990	000,1.5%,1 Feb 2024	,Official estimate[15]
 Philippines	,112	892	781,1.4%,1 Jul 2023	,Official projection[16]
 Ethiopia	,107	334	000,1.3%,1 Jul 2023	,National annual projection[17]
 Egypt	,104	462	545,1.3%,1 Jan 2023	,Official estimate[18]
 Vietnam	,100	300	000,1.2%,Jul 2023	,Official estimate[19]
 Democratic Republic of the Congo	,95	370	000,1.2%,1 Jul 2019	,Official figure[20]
 Turkey	,85	372	377,1.1%,31 Dec 2023	,Official estimate[21]
 Germany	,84	607	016,1.0%,30 Sep 2023	,National quarterly estimate[22]
 Iran	,84	055	000,1.0%,20 Mar 2022	,Official estimate[23]
 France	,68	381	000,0.8%,1 Feb 2024	,Monthly national estimate[24]
 Thailand	,68	263	022,0.8%,1 Jul 2021	,Official estimate[25]
 United Kingdom	,67	596	281,0.8%,30 Jun 2022	,Official estimate[26]
 South Africa	,62	027	503,0.8%,2 Feb 2022	,2022 census result[27]
 Tanzania	,61	741	120,0.8%,23 Aug 2022	,2022 census result[28]
 Italy	,58	909	449,0.7%,30 Nov 2023	,Monthly national estimate[29]
 Myanmar	,55	770	232,0.7%,1 Jul 2022	,National annual projection[30]
 Colombia	,52	695	952,0.7%,1 Jan 2024	,Official projection[31]
 Kenya	,51	526	000,0.6%,1 Jan 2023	,Official projection[32]
 South Korea	,51	303	688,0.6%,29 Feb 2024	,Monthly national estimate[33]
 Spain	,48	592	909,0.6%,1 Jan 2024	,National quarterly estimate[34]
 Argentina	,46	654	581,0.6%,1 Jul 2023	,National annual projection[35]
 Uganda	,45	562	000,0.6%,1 Jul 2023	,National annual projection[36]
 Algeria	,45	400	000,0.6%,1 Jan 2022	,Official estimate[37]
 Iraq	,43	324	000,0.5%,1 Jul 2023	,Official estimate[38]
 Sudan	,41	984	500,0.5%,1 Jul 2018	,Official projection[39]
